epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2628.39,0.74233,0.70769,0.01424,0.9066,0.85296,0.90208,0.68829,0.89559,0.63179,0.02639,0.000202188,0.000202188,0.000202188
43,2689.69,0.74036,0.71484,0.01405,0.883,0.85294,0.89707,0.67853,0.90517,0.66609,0.02668,0.000191875,0.000191875,0.000191875
44,2750.1,0.71648,0.68972,0.01381,0.92952,0.84497,0.91308,0.68671,0.89803,0.63171,0.02646,0.000181563,0.000181563,0.000181563
45,2810.2,0.71848,0.66005,0.01367,0.90286,0.87547,0.91095,0.68376,0.90637,0.62614,0.02648,0.00017125,0.00017125,0.00017125
46,2870.03,0.71738,0.6579,0.01342,0.90455,0.86634,0.91553,0.69968,0.89916,0.58652,0.02633,0.000160938,0.000160938,0.000160938
47,2930.92,0.70807,0.67245,0.01342,0.92154,0.84918,0.91112,0.70675,0.8809,0.60533,0.02583,0.000150625,0.000150625,0.000150625
48,2991.77,0.71321,0.68001,0.01357,0.92854,0.8423,0.91616,0.70337,0.89223,0.6096,0.02611,0.000140313,0.000140313,0.000140313
49,3052.22,0.7017,0.66024,0.01321,0.93262,0.84393,0.91882,0.70591,0.88197,0.58803,0.02586,0.00013,0.00013,0.00013
50,3113.15,0.70392,0.65595,0.01361,0.8968,0.8676,0.91471,0.71123,0.85857,0.60449,0.02509,0.000119688,0.000119688,0.000119688
51,3174.68,0.64548,0.4616,0.01727,0.90878,0.85276,0.91609,0.69598,0.91051,0.60279,0.02678,0.000109375,0.000109375,0.000109375
52,3232.84,0.59821,0.37666,0.01544,0.88075,0.87055,0.91548,0.69945,0.90335,0.60038,0.02657,9.90625e-05,9.90625e-05,9.90625e-05
53,3291.61,0.5742,0.37105,0.01513,0.90309,0.85481,0.91195,0.69579,0.89471,0.58908,0.0262,8.875e-05,8.875e-05,8.875e-05
